Chr	width	gene_id	gene_name	gene_type	type	GENEID
chr3	4336	ENSMUSG00000105708	Gm36070	lncRNA	gene	ENSMUSG00000105708
chr3	2129	ENSMUSG00000091648	C2cd4d	protein_coding	gene	ENSMUSG00000091648
chr3	8669	ENSMUSG00000104669	Gm38411	lncRNA	gene	ENSMUSG00000104669
chr3	25483	ENSMUSG00000028150	Rorc	protein_coding	gene	ENSMUSG00000028150
chr3	9878	ENSMUSG00000105391	Gm43401	lncRNA	gene	ENSMUSG00000105391
chr3	5985	ENSMUSG00000044505	Lingo4	protein_coding	gene	ENSMUSG00000044505
chr3	3525	ENSMUSG00000097515	1700040D17Rik	lncRNA	gene	ENSMUSG00000097515
chr3	21396	ENSMUSG00000041912	Tdrkh	protein_coding	gene	ENSMUSG00000041912
chr3	4886	ENSMUSG00000106032	Gm42463	lncRNA	gene	ENSMUSG00000106032
chr3	11502	ENSMUSG00000028141	Oaz3	protein_coding	gene	ENSMUSG00000028141
chr3	7813	ENSMUSG00000028140	Mrpl9	protein_coding	gene	ENSMUSG00000028140
chr3	15359	ENSMUSG00000028139	Riiad1	protein_coding	gene	ENSMUSG00000028139
chr3	13904	ENSMUSG00000028137	Celf3	protein_coding	gene	ENSMUSG00000028137
chr3	85173	ENSMUSG00000028136	Snx27	protein_coding	gene	ENSMUSG00000028136
chr3	2162	ENSMUSG00000106061	Gm43773	lncRNA	gene	ENSMUSG00000106061
chr3	878	ENSMUSG00000104631	Gm43774	lncRNA	gene	ENSMUSG00000104631
chr3	1258	ENSMUSG00000105412	Gm43768	lncRNA	gene	ENSMUSG00000105412
chr3	46116	ENSMUSG00000005968	Tuft1	protein_coding	gene	ENSMUSG00000005968
chr3	1155	ENSMUSG00000085250	Gm15234	lncRNA	gene	ENSMUSG00000085250
chr3	4272	ENSMUSG00000121295	ENSMUSG00000121295	lncRNA	gene	ENSMUSG00000121295
chr3	10858	ENSMUSG00000068877	Selenbp2	protein_coding	gene	ENSMUSG00000068877
chr3	26451	ENSMUSG00000068876	Cgn	protein_coding	gene	ENSMUSG00000068876
chr3	44760	ENSMUSG00000038902	Pogz	protein_coding	gene	ENSMUSG00000038902
chr3	2869	ENSMUSG00000005779	Psmb4	protein_coding	gene	ENSMUSG00000005779
chr3	11703	ENSMUSG00000068874	Selenbp1	protein_coding	gene	ENSMUSG00000068874
chr3	7487	ENSMUSG00000005774	Rfx5	protein_coding	gene	ENSMUSG00000005774
chr3	3015	ENSMUSG00000087660	B230398E01Rik	lncRNA	gene	ENSMUSG00000087660
chr3	32113	ENSMUSG00000038861	Pi4kb	protein_coding	gene	ENSMUSG00000038861
chr3	2941	ENSMUSG00000084846	A730011C13Rik	lncRNA	gene	ENSMUSG00000084846
chr3	6070	ENSMUSG00000086288	Gm15265	lncRNA	gene	ENSMUSG00000086288
chr3	8859	ENSMUSG00000019338	Zfp687	protein_coding	gene	ENSMUSG00000019338
chr3	4514	ENSMUSG00000085956	4930481B07Rik	lncRNA	gene	ENSMUSG00000085956
chr3	9921	ENSMUSG00000005625	Psmd4	protein_coding	gene	ENSMUSG00000005625
chr3	48401	ENSMUSG00000028126	Pip5k1a	protein_coding	gene	ENSMUSG00000028126
chr3	12030	ENSMUSG00000008958	Vps72	protein_coding	gene	ENSMUSG00000008958
chr3	4734	ENSMUSG00000005628	Tmod4	protein_coding	gene	ENSMUSG00000005628
chr3	4476	ENSMUSG00000092607	Scnm1	protein_coding	gene	ENSMUSG00000092607
chr3	5431	ENSMUSG00000053769	Lysmd1	protein_coding	gene	ENSMUSG00000053769
chr3	2840	ENSMUSG00000013707	Tnfaip8l2	protein_coding	gene	ENSMUSG00000013707
chr3	13568	ENSMUSG00000038777	Sema6c	protein_coding	gene	ENSMUSG00000038777
chr3	36151	ENSMUSG00000038766	Gabpb2	protein_coding	gene	ENSMUSG00000038766
chr3	9238	ENSMUSG00000097167	Gm16740	lncRNA	gene	ENSMUSG00000097167
chr3	13037	ENSMUSG00000053192	Mllt11	protein_coding	gene	ENSMUSG00000053192
chr3	7678	ENSMUSG00000046722	Cdc42se1	protein_coding	gene	ENSMUSG00000046722
chr3	4679	ENSMUSG00000068860	Gm128	protein_coding	gene	ENSMUSG00000068860
chr3	9923	ENSMUSG00000028115	Bnipl	protein_coding	gene	ENSMUSG00000028115
chr3	28403	ENSMUSG00000015711	Prune1	protein_coding	gene	ENSMUSG00000015711
chr3	14822	ENSMUSG00000038712	Mindy1	protein_coding	gene	ENSMUSG00000038712
chr3	1266	ENSMUSG00000120920	Gm56812	lncRNA	gene	ENSMUSG00000120920
chr3	11081	ENSMUSG00000015702	Anxa9	protein_coding	gene	ENSMUSG00000015702
chr3	8060	ENSMUSG00000093424	6330562C20Rik	lncRNA	gene	ENSMUSG00000093424
chr3	8809	ENSMUSG00000015714	Cers2	protein_coding	gene	ENSMUSG00000015714
chr3	33678	ENSMUSG00000015697	Setdb1	protein_coding	gene	ENSMUSG00000015697
chr3	16381	ENSMUSG00000105734	Ctxnd2	protein_coding	gene	ENSMUSG00000105734
chr3	3516	ENSMUSG00000121472	ENSMUSG00000121472	lncRNA	gene	ENSMUSG00000121472
chr3	62853	ENSMUSG00000015522	Arnt	protein_coding	gene	ENSMUSG00000015522
chr3	10107	ENSMUSG00000028111	Ctsk	protein_coding	gene	ENSMUSG00000028111
chr3	573	ENSMUSG00000120941	Gm56808	lncRNA	gene	ENSMUSG00000120941
chr3	29618	ENSMUSG00000038642	Ctss	protein_coding	gene	ENSMUSG00000038642
chr3	27995	ENSMUSG00000028109	Hormad1	protein_coding	gene	ENSMUSG00000028109
chr3	30309	ENSMUSG00000046519	Golph3l	protein_coding	gene	ENSMUSG00000046519
chr3	7110	ENSMUSG00000038619	Ensa	protein_coding	gene	ENSMUSG00000038619
chr3	4389	ENSMUSG00000038612	Mcl1	protein_coding	gene	ENSMUSG00000038612
chr3	864	ENSMUSG00000120405	Gm56781	lncRNA	gene	ENSMUSG00000120405
chr3	11718	ENSMUSG00000015850	Adamtsl4	protein_coding	gene	ENSMUSG00000015850
chr3	5423	ENSMUSG00000028108	Ecm1	protein_coding	gene	ENSMUSG00000028108
chr3	20231	ENSMUSG00000028107	Tars2	protein_coding	gene	ENSMUSG00000028107
chr3	58523	ENSMUSG00000028106	Rprd2	protein_coding	gene	ENSMUSG00000028106
chr3	25762	ENSMUSG00000015748	Prpf3	protein_coding	gene	ENSMUSG00000015748
chr3	5520	ENSMUSG00000097189	Gm26594	lncRNA	gene	ENSMUSG00000097189
chr3	8886	ENSMUSG00000054312	Mrps21	protein_coding	gene	ENSMUSG00000054312
chr3	17586	ENSMUSG00000080727	C920021L13Rik	lncRNA	gene	ENSMUSG00000080727
chr3	3749	ENSMUSG00000038550	Ciart	protein_coding	gene	ENSMUSG00000038550
chr3	8052	ENSMUSG00000038543	BC028528	protein_coding	gene	ENSMUSG00000038543
chr3	4320	ENSMUSG00000015750	Aph1a	protein_coding	gene	ENSMUSG00000015750
chr3	6924	ENSMUSG00000038526	Car14	protein_coding	gene	ENSMUSG00000038526
chr3	398	ENSMUSG00000120720	Gm46815	lncRNA	gene	ENSMUSG00000120720
chr3	18145	ENSMUSG00000015749	Anp32e	protein_coding	gene	ENSMUSG00000015749
chr3	395	ENSMUSG00000121104	Gm56819	lncRNA	gene	ENSMUSG00000121104
chr3	3385	ENSMUSG00000119955	Gm9054	lncRNA	gene	ENSMUSG00000119955
chr3	7573	ENSMUSG00000015745	Plekho1	protein_coding	gene	ENSMUSG00000015745
chr3	58635	ENSMUSG00000015747	Vps45	protein_coding	gene	ENSMUSG00000015747
chr3	56608	ENSMUSG00000038495	Otud7b	protein_coding	gene	ENSMUSG00000038495
chr3	9714	ENSMUSG00000045934	Mtmr11	protein_coding	gene	ENSMUSG00000045934
chr3	4968	ENSMUSG00000097204	Gm17690	lncRNA	gene	ENSMUSG00000097204
chr3	5233	ENSMUSG00000068856	Sf3b4	protein_coding	gene	ENSMUSG00000068856
chr3	14371	ENSMUSG00000038486	Sv2a	protein_coding	gene	ENSMUSG00000038486
chr3	23122	ENSMUSG00000015943	Bola1	protein_coding	gene	ENSMUSG00000015943
chr3	10542	ENSMUSG00000086556	Gm15444	lncRNA	gene	ENSMUSG00000086556
chr3	444	ENSMUSG00000063689	H2ac21	protein_coding	gene	ENSMUSG00000063689
chr3	520	ENSMUSG00000068855	H2ac20	protein_coding	gene	ENSMUSG00000068855
chr3	2620	ENSMUSG00000068854	H2bc21	protein_coding	gene	ENSMUSG00000068854
chr3	1020	ENSMUSG00000081058	H3c15	protein_coding	gene	ENSMUSG00000081058
chr3	2427	ENSMUSG00000093577	Gm20632	lncRNA	gene	ENSMUSG00000093577
chr3	528	ENSMUSG00000063954	H2ac19	protein_coding	gene	ENSMUSG00000063954
chr3	2831	ENSMUSG00000093553	Gm20633	lncRNA	gene	ENSMUSG00000093553
chr3	586	ENSMUSG00000064220	H2ac18	protein_coding	gene	ENSMUSG00000064220
chr3	1825	ENSMUSG00000093769	H3c14	protein_coding	gene	ENSMUSG00000093769
chr3	1659	ENSMUSG00000093507	Gm20627	lncRNA	gene	ENSMUSG00000093507
chr3	1630	ENSMUSG00000091405	H4c14	protein_coding	gene	ENSMUSG00000091405
chr3	3215	ENSMUSG00000093656	Gm20628	lncRNA	gene	ENSMUSG00000093656
chr3	488	ENSMUSG00000074403	H3c13	protein_coding	gene	ENSMUSG00000074403
chr3	9281	ENSMUSG00000050936	Gm42743	lncRNA	gene	ENSMUSG00000050936
chr3	381	ENSMUSG00000105827	H2bc18	protein_coding	gene	ENSMUSG00000105827
chr3	11061	ENSMUSG00000015947	Fcgr1	protein_coding	gene	ENSMUSG00000015947
chr3	13194	ENSMUSG00000097851	Platr30	lncRNA	gene	ENSMUSG00000097851
chr3	8468	ENSMUSG00000097807	Gm26553	lncRNA	gene	ENSMUSG00000097807
chr3	865	ENSMUSG00000097539	4930477E14Rik	lncRNA	gene	ENSMUSG00000097539
chr3	568	ENSMUSG00000097299	Gm26654	lncRNA	gene	ENSMUSG00000097299
chr3	397	ENSMUSG00000118406	Terc	lncRNA	gene	ENSMUSG00000118406
chr3	18519	ENSMUSG00000046317	BC107364	lncRNA	gene	ENSMUSG00000046317
chr3	12448	ENSMUSG00000106429	Gm10685	lncRNA	gene	ENSMUSG00000106429
chr3	4039	ENSMUSG00000038403	Hjv	protein_coding	gene	ENSMUSG00000038403
chr3	11047	ENSMUSG00000074398	Gm15441	lncRNA	gene	ENSMUSG00000074398
chr3	3927	ENSMUSG00000038393	Txnip	protein_coding	gene	ENSMUSG00000038393
chr3	3680	ENSMUSG00000087610	Gm16253	protein_coding	gene	ENSMUSG00000087610
chr3	16310	ENSMUSG00000028104	Polr3gl	protein_coding	gene	ENSMUSG00000028104
chr3	3140	ENSMUSG00000049097	Ankrd34a	protein_coding	gene	ENSMUSG00000049097
chr3	25023	ENSMUSG00000049288	Lix1l	protein_coding	gene	ENSMUSG00000049288
chr3	3859	ENSMUSG00000038374	Rbm8a	protein_coding	gene	ENSMUSG00000038374
chr3	9991	ENSMUSG00000028102	Pex11b	protein_coding	gene	ENSMUSG00000028102
chr3	18936	ENSMUSG00000090210	Itga10	protein_coding	gene	ENSMUSG00000090210
chr3	20902	ENSMUSG00000038354	Ankrd35	protein_coding	gene	ENSMUSG00000038354
chr3	9687	ENSMUSG00000028101	Pias3	protein_coding	gene	ENSMUSG00000028101
chr3	2496	ENSMUSG00000028100	Nudt17	protein_coding	gene	ENSMUSG00000028100
chr3	16139	ENSMUSG00000028099	Polr3c	protein_coding	gene	ENSMUSG00000028099
chr3	63975	ENSMUSG00000028098	Rnf115	protein_coding	gene	ENSMUSG00000028098
chr3	30589	ENSMUSG00000038304	Cd160	protein_coding	gene	ENSMUSG00000038304
chr3	41643	ENSMUSG00000038298	Pdzk1	protein_coding	gene	ENSMUSG00000038298
chr3	2271	ENSMUSG00000087223	4930442L01Rik	lncRNA	gene	ENSMUSG00000087223
chr3	37066	ENSMUSG00000028096	Gpr89	protein_coding	gene	ENSMUSG00000028096
chr3	172724	ENSMUSG00000057123	Gja5	protein_coding	gene	ENSMUSG00000057123
chr3	12455	ENSMUSG00000049908	Gja8	protein_coding	gene	ENSMUSG00000049908
chr3	2050	ENSMUSG00000105385	9230114J08Rik	lncRNA	gene	ENSMUSG00000105385
chr3	46130	ENSMUSG00000104766	4930573H18Rik	lncRNA	gene	ENSMUSG00000104766
chr3	18523	ENSMUSG00000028093	Acp6	protein_coding	gene	ENSMUSG00000028093
chr3	94256	ENSMUSG00000038256	Bcl9	protein_coding	gene	ENSMUSG00000038256
chr3	14571	ENSMUSG00000051392	Or13l2	protein_coding	gene	ENSMUSG00000051392
chr3	49462	ENSMUSG00000028089	Chd1l	protein_coding	gene	ENSMUSG00000028089
chr3	26479	ENSMUSG00000028088	Fmo5	protein_coding	gene	ENSMUSG00000028088
chr3	15620	ENSMUSG00000038205	Prkab2	protein_coding	gene	ENSMUSG00000038205
chr3	198884	ENSMUSG00000038170	Pde4dip	protein_coding	gene	ENSMUSG00000038170
chr3	5828	ENSMUSG00000105245	Gm31305	lncRNA	gene	ENSMUSG00000105245
chr3	8859	ENSMUSG00000086557	Gm15999	lncRNA	gene	ENSMUSG00000086557
chr3	22087	ENSMUSG00000027879	Sec22b	protein_coding	gene	ENSMUSG00000027879
chr3	36848	ENSMUSG00000074388	Gm5544	lncRNA	gene	ENSMUSG00000074388
chr3	663	ENSMUSG00000120205	Gm56776	lncRNA	gene	ENSMUSG00000120205
chr3	136835	ENSMUSG00000027878	Notch2	protein_coding	gene	ENSMUSG00000027878
chr3	3540	ENSMUSG00000043468	Adam30	protein_coding	gene	ENSMUSG00000043468
chr3	14593	ENSMUSG00000027876	Reg4	protein_coding	gene	ENSMUSG00000027876
chr3	30304	ENSMUSG00000027875	Hmgcs2	protein_coding	gene	ENSMUSG00000027875
chr3	3069	ENSMUSG00000105909	Gm43189	lncRNA	gene	ENSMUSG00000105909
chr3	26821	ENSMUSG00000053398	Phgdh	protein_coding	gene	ENSMUSG00000053398
chr3	3184	ENSMUSG00000120153	Gm56804	lncRNA	gene	ENSMUSG00000120153
chr3	371352	ENSMUSG00000050064	Zfp697	protein_coding	gene	ENSMUSG00000050064
chr3	11452	ENSMUSG00000090817	Hsd3b9	protein_coding	gene	ENSMUSG00000090817
chr3	1779	ENSMUSG00000106107	Gm43190	lncRNA	gene	ENSMUSG00000106107
chr3	11444	ENSMUSG00000095143	Hsd3b4	protein_coding	gene	ENSMUSG00000095143
chr3	36266	ENSMUSG00000095388	Hsd3b8	protein_coding	gene	ENSMUSG00000095388
chr3	11619	ENSMUSG00000038092	Hsd3b5	protein_coding	gene	ENSMUSG00000038092
chr3	15289	ENSMUSG00000063730	Hsd3b2	protein_coding	gene	ENSMUSG00000063730
chr3	21605	ENSMUSG00000062410	Hsd3b3	protein_coding	gene	ENSMUSG00000062410
chr3	8940	ENSMUSG00000027869	Hsd3b6	protein_coding	gene	ENSMUSG00000027869
chr3	7601	ENSMUSG00000027871	Hsd3b1	protein_coding	gene	ENSMUSG00000027871
chr3	18719	ENSMUSG00000027870	Hao2	protein_coding	gene	ENSMUSG00000027870
chr3	3608	ENSMUSG00000085121	5730437C11Rik	lncRNA	gene	ENSMUSG00000085121
chr3	3923	ENSMUSG00000086833	Gm12440	lncRNA	gene	ENSMUSG00000086833
chr3	98119	ENSMUSG00000004233	Wars2	protein_coding	gene	ENSMUSG00000004233
chr3	4352	ENSMUSG00000105472	Gm43024	lncRNA	gene	ENSMUSG00000105472
chr3	3463	ENSMUSG00000106197	Gm42717	lncRNA	gene	ENSMUSG00000106197
chr3	113879	ENSMUSG00000027868	Tbx15	protein_coding	gene	ENSMUSG00000027868
chr3	6588	ENSMUSG00000105689	Gm43120	lncRNA	gene	ENSMUSG00000105689
chr3	257917	ENSMUSG00000027867	Spag17	protein_coding	gene	ENSMUSG00000027867
chr3	6212	ENSMUSG00000085244	Spag17os	lncRNA	gene	ENSMUSG00000085244
chr3	24228	ENSMUSG00000033285	Wdr3	protein_coding	gene	ENSMUSG00000033285
chr3	44601	ENSMUSG00000027865	Gdap2	protein_coding	gene	ENSMUSG00000027865
chr3	11350	ENSMUSG00000086923	4930406D18Rik	lncRNA	gene	ENSMUSG00000086923
chr3	1305	ENSMUSG00000106639	Gm43121	lncRNA	gene	ENSMUSG00000106639
chr3	37697	ENSMUSG00000044468	Tent5c	protein_coding	gene	ENSMUSG00000044468
chr3	34432	ENSMUSG00000053957	Gm12474	lncRNA	gene	ENSMUSG00000053957
chr3	2697	ENSMUSG00000104943	Gm42868	lncRNA	gene	ENSMUSG00000104943
chr3	123296	ENSMUSG00000008763	Man1a2	protein_coding	gene	ENSMUSG00000008763
chr3	5214	ENSMUSG00000105824	Gm43466	lncRNA	gene	ENSMUSG00000105824
chr3	2121	ENSMUSG00000105137	Gm42869	lncRNA	gene	ENSMUSG00000105137
chr3	3648	ENSMUSG00000105561	Gm43462	lncRNA	gene	ENSMUSG00000105561
chr3	1803	ENSMUSG00000106184	Gm43463	lncRNA	gene	ENSMUSG00000106184
chr3	7379	ENSMUSG00000106227	Gm43464	lncRNA	gene	ENSMUSG00000106227
chr3	765	ENSMUSG00000120363	Gm56814	lncRNA	gene	ENSMUSG00000120363
chr3	71464	ENSMUSG00000051076	Vtcn1	protein_coding	gene	ENSMUSG00000051076
chr3	14719	ENSMUSG00000033233	Trim45	protein_coding	gene	ENSMUSG00000033233
chr3	30804	ENSMUSG00000033222	Ttf2	protein_coding	gene	ENSMUSG00000033222
chr3	36028	ENSMUSG00000086564	Cd101	protein_coding	gene	ENSMUSG00000086564
chr3	70047	ENSMUSG00000027864	Ptgfrn	protein_coding	gene	ENSMUSG00000027864
chr3	2802	ENSMUSG00000105717	Gm43465	lncRNA	gene	ENSMUSG00000105717
chr3	12041	ENSMUSG00000027863	Cd2	protein_coding	gene	ENSMUSG00000027863
chr3	6145	ENSMUSG00000120088	Gm32803	lncRNA	gene	ENSMUSG00000120088
chr3	85977	ENSMUSG00000042035	Igsf3	protein_coding	gene	ENSMUSG00000042035
chr3	2205	ENSMUSG00000104639	Gm42939	lncRNA	gene	ENSMUSG00000104639
chr3	1072	ENSMUSG00000105611	Gm42938	lncRNA	gene	ENSMUSG00000105611
chr3	2322	ENSMUSG00000106137	Gm42538	lncRNA	gene	ENSMUSG00000106137
chr3	28466	ENSMUSG00000033161	Atp1a1	protein_coding	gene	ENSMUSG00000033161
chr3	752	ENSMUSG00000104737	Gm42937	lncRNA	gene	ENSMUSG00000104737
chr3	1321	ENSMUSG00000104693	Gm42941	lncRNA	gene	ENSMUSG00000104693
chr3	7844	ENSMUSG00000106070	Gm43135	lncRNA	gene	ENSMUSG00000106070
chr3	1886	ENSMUSG00000105642	Gm43134	lncRNA	gene	ENSMUSG00000105642
chr3	35884	ENSMUSG00000044313	Mab21l3	protein_coding	gene	ENSMUSG00000044313
chr3	68678	ENSMUSG00000033147	Slc22a15	protein_coding	gene	ENSMUSG00000033147
chr3	5417	ENSMUSG00000048540	Nhlh2	protein_coding	gene	ENSMUSG00000048540
chr3	60100	ENSMUSG00000027861	Casq2	protein_coding	gene	ENSMUSG00000027861
chr3	1285	ENSMUSG00000105342	Gm43244	lncRNA	gene	ENSMUSG00000105342
chr3	2882	ENSMUSG00000106296	4632404M16Rik	lncRNA	gene	ENSMUSG00000106296
chr3	51111	ENSMUSG00000027860	Vangl1	protein_coding	gene	ENSMUSG00000027860
chr3	2311	ENSMUSG00000089916	Gm16160	lncRNA	gene	ENSMUSG00000089916
chr3	597	ENSMUSG00000105151	Gm43241	lncRNA	gene	ENSMUSG00000105151
chr3	182735	ENSMUSG00000105891	A230001M10Rik	lncRNA	gene	ENSMUSG00000105891
chr3	1776	ENSMUSG00000105966	Gm43242	lncRNA	gene	ENSMUSG00000105966
chr3	51095	ENSMUSG00000027859	Ngf	protein_coding	gene	ENSMUSG00000027859
chr3	2906	ENSMUSG00000106121	Gm42679	lncRNA	gene	ENSMUSG00000106121
chr3	2221	ENSMUSG00000104619	Gm42678	lncRNA	gene	ENSMUSG00000104619
chr3	1265	ENSMUSG00000105570	Gm42682	lncRNA	gene	ENSMUSG00000105570
chr3	15187	ENSMUSG00000086745	Tspan2os	lncRNA	gene	ENSMUSG00000086745
chr3	66985	ENSMUSG00000027858	Tspan2	protein_coding	gene	ENSMUSG00000027858
chr3	7254	ENSMUSG00000027857	Tshb	protein_coding	gene	ENSMUSG00000027857
chr3	1611	ENSMUSG00000105855	Gm42681	lncRNA	gene	ENSMUSG00000105855
chr3	117602	ENSMUSG00000027855	Sycp1	protein_coding	gene	ENSMUSG00000027855
chr3	24476	ENSMUSG00000048938	Nr1h5	protein_coding	gene	ENSMUSG00000048938
chr3	12752	ENSMUSG00000027854	Sike1	protein_coding	gene	ENSMUSG00000027854
chr3	37761	ENSMUSG00000068823	Csde1	protein_coding	gene	ENSMUSG00000068823
chr3	9630	ENSMUSG00000027852	Nras	protein_coding	gene	ENSMUSG00000027852
chr3	1319	ENSMUSG00000104671	Gm43062	lncRNA	gene	ENSMUSG00000104671
chr3	25707	ENSMUSG00000070385	Ampd1	protein_coding	gene	ENSMUSG00000070385
chr3	1081	ENSMUSG00000105731	Gm43063	lncRNA	gene	ENSMUSG00000105731
chr3	67166	ENSMUSG00000007379	Dennd2c	protein_coding	gene	ENSMUSG00000007379
chr3	7512	ENSMUSG00000005687	Bcas2	protein_coding	gene	ENSMUSG00000005687
chr3	79483	ENSMUSG00000033014	Trim33	protein_coding	gene	ENSMUSG00000033014
chr3	2241	ENSMUSG00000104925	Gm43061	lncRNA	gene	ENSMUSG00000104925
chr3	70339	ENSMUSG00000027849	Syt6	protein_coding	gene	ENSMUSG00000027849
chr3	1260	ENSMUSG00000104764	Gm43066	lncRNA	gene	ENSMUSG00000104764
chr3	2115	ENSMUSG00000087119	Atg4a-ps	protein_coding	gene	ENSMUSG00000087119
chr3	15780	ENSMUSG00000027848	Olfml3	protein_coding	gene	ENSMUSG00000027848
chr3	51749	ENSMUSG00000008730	Hipk1	protein_coding	gene	ENSMUSG00000008730
chr3	1422	ENSMUSG00000105229	Gm43149	lncRNA	gene	ENSMUSG00000105229
chr3	17451	ENSMUSG00000085754	Gm15886	lncRNA	gene	ENSMUSG00000085754
chr3	1066	ENSMUSG00000104874	Gm43387	lncRNA	gene	ENSMUSG00000104874
chr3	8840	ENSMUSG00000027845	Dclre1b	protein_coding	gene	ENSMUSG00000027845
chr3	5311	ENSMUSG00000084997	Gm15471	lncRNA	gene	ENSMUSG00000084997
chr3	12506	ENSMUSG00000032952	Ap4b1	protein_coding	gene	ENSMUSG00000032952
chr3	22018	ENSMUSG00000044165	Bcl2l15	protein_coding	gene	ENSMUSG00000044165
chr3	52453	ENSMUSG00000027843	Ptpn22	protein_coding	gene	ENSMUSG00000027843
chr3	1258	ENSMUSG00000084760	Gm15472	lncRNA	gene	ENSMUSG00000084760
chr3	2092	ENSMUSG00000105986	Gm43065	lncRNA	gene	ENSMUSG00000105986
chr3	52517	ENSMUSG00000044098	Rsbn1	protein_coding	gene	ENSMUSG00000044098
chr3	4046	ENSMUSG00000089998	Phtf1os	lncRNA	gene	ENSMUSG00000089998
chr3	56489	ENSMUSG00000058388	Phtf1	protein_coding	gene	ENSMUSG00000058388
chr3	207116	ENSMUSG00000052539	Magi3	protein_coding	gene	ENSMUSG00000052539
chr3	1142	ENSMUSG00000104721	Gm42696	lncRNA	gene	ENSMUSG00000104721
chr3	1068	ENSMUSG00000106371	9530097N15Rik	lncRNA	gene	ENSMUSG00000106371
chr3	2437	ENSMUSG00000105148	Gm42700	lncRNA	gene	ENSMUSG00000105148
chr3	1657	ENSMUSG00000105083	Gm42699	lncRNA	gene	ENSMUSG00000105083
chr3	4217	ENSMUSG00000106443	Gm42702	lncRNA	gene	ENSMUSG00000106443
chr3	1657	ENSMUSG00000104583	Gm42701	lncRNA	gene	ENSMUSG00000104583
chr3	1950	ENSMUSG00000105846	Gm43258	lncRNA	gene	ENSMUSG00000105846
chr3	716	ENSMUSG00000106063	C030032O16Rik	lncRNA	gene	ENSMUSG00000106063
chr3	3277	ENSMUSG00000106432	Gm43259	lncRNA	gene	ENSMUSG00000106432
chr3	2430	ENSMUSG00000105933	Gm43260	lncRNA	gene	ENSMUSG00000105933
chr3	3091	ENSMUSG00000105818	Gm43256	lncRNA	gene	ENSMUSG00000105818
chr3	1255	ENSMUSG00000120952	2010002M09Rik	lncRNA	gene	ENSMUSG00000120952
chr3	15979	ENSMUSG00000022187	Gm5546	lncRNA	gene	ENSMUSG00000022187
chr3	115501	ENSMUSG00000032913	Lrig2	protein_coding	gene	ENSMUSG00000032913
chr3	8375	ENSMUSG00000104768	Gm38412	lncRNA	gene	ENSMUSG00000104768
chr3	6071	ENSMUSG00000105304	Gm43696	lncRNA	gene	ENSMUSG00000105304
chr3	2288	ENSMUSG00000104973	A530041M06Rik	lncRNA	gene	ENSMUSG00000104973
chr3	1215	ENSMUSG00000105659	4930509H03Rik	lncRNA	gene	ENSMUSG00000105659
chr3	19795	ENSMUSG00000032902	Slc16a1	protein_coding	gene	ENSMUSG00000032902
chr3	2864	ENSMUSG00000105199	Gm43581	lncRNA	gene	ENSMUSG00000105199
chr3	1403	ENSMUSG00000106287	Gm43585	lncRNA	gene	ENSMUSG00000106287
chr3	2797	ENSMUSG00000100188	Gm29561	lncRNA	gene	ENSMUSG00000100188
chr3	14435	ENSMUSG00000055865	Tafa3	protein_coding	gene	ENSMUSG00000055865
chr3	4963	ENSMUSG00000002228	Ppm1j	protein_coding	gene	ENSMUSG00000002228
chr3	6085	ENSMUSG00000002233	Rhoc	protein_coding	gene	ENSMUSG00000002233
chr3	23728	ENSMUSG00000002227	Mov10	protein_coding	gene	ENSMUSG00000002227
chr3	41727	ENSMUSG00000070372	Capza1	protein_coding	gene	ENSMUSG00000070372
chr3	1575	ENSMUSG00000106251	Gm42658	lncRNA	gene	ENSMUSG00000106251
chr3	1754	ENSMUSG00000105655	Gm42659	lncRNA	gene	ENSMUSG00000105655
chr3	66060	ENSMUSG00000045576	St7l	protein_coding	gene	ENSMUSG00000045576
chr3	16650	ENSMUSG00000027840	Wnt2b	protein_coding	gene	ENSMUSG00000027840
chr3	932	ENSMUSG00000105925	Gm43846	lncRNA	gene	ENSMUSG00000105925
chr3	9974	ENSMUSG00000105355	Gm40117	lncRNA	gene	ENSMUSG00000105355
chr3	51232	ENSMUSG00000062127	Cttnbp2nl	protein_coding	gene	ENSMUSG00000062127
chr3	11963	ENSMUSG00000051788	4930564D02Rik	lncRNA	gene	ENSMUSG00000051788
chr3	11361	ENSMUSG00000074346	Kcnd3os	lncRNA	gene	ENSMUSG00000074346
chr3	221673	ENSMUSG00000040896	Kcnd3	protein_coding	gene	ENSMUSG00000040896
chr3	1940	ENSMUSG00000105753	Gm43847	lncRNA	gene	ENSMUSG00000105753
chr3	9305	ENSMUSG00000027905	Ddx20	protein_coding	gene	ENSMUSG00000027905
chr3	16244	ENSMUSG00000048458	Inka2	protein_coding	gene	ENSMUSG00000048458
chr3	1247	ENSMUSG00000106317	Gm43848	lncRNA	gene	ENSMUSG00000106317
chr3	74070	ENSMUSG00000068798	Rap1a	protein_coding	gene	ENSMUSG00000068798
chr3	1434	ENSMUSG00000105677	Gm43328	lncRNA	gene	ENSMUSG00000105677
chr3	3232	ENSMUSG00000105842	Gm43329	lncRNA	gene	ENSMUSG00000105842
chr3	2153	ENSMUSG00000106341	Gm43330	lncRNA	gene	ENSMUSG00000106341
chr3	1689	ENSMUSG00000104910	Gm43331	lncRNA	gene	ENSMUSG00000104910
chr3	1834	ENSMUSG00000104835	Gm5547	lncRNA	gene	ENSMUSG00000104835
